model,overall_accuracy,bird_precision,bird_recall,bird_f1,drone_precision,drone_recall,drone_f1,weighted_precision,weighted_recall,weighted_f1,f1_weighted
Custom_CNN,0.8930232524871826,0.8769230769230769,0.9421487603305784,0.9083665338645418,0.9176470588235294,0.8297872340425532,0.8715083798882681,0.8947279806376933,0.8930232558139535,0.8922518060795663,0.8922518060795663
ResNet50,0.8744186046511628,0.873015873015873,0.9090909090909092,0.8906882591093117,0.8764044943820225,0.8297872340425532,0.8524590163934426,0.8744974097992128,0.8744186046511628,0.8739740785730712,0.8739740785730712
MobileNetV2,0.9767441860465116,0.967741935483871,0.9917355371900828,0.979591836734694,0.989010989010989,0.9574468085106383,0.972972972972973,0.9770409635375876,0.9767441860465116,0.976698007927244,0.976698007927244
EfficientNetB0,0.9813953488372092,0.9834710743801652,0.9834710743801652,0.9834710743801652,0.9787234042553192,0.9787234042553192,0.9787234042553192,0.9813953488372092,0.9813953488372092,0.9813953488372092,0.9813953488372092
